model,weighting,aicDelta,weight
Null,NA,8.071,0.011
IFM,Weighted,4.94,0.054
,Unweighted,4.865,0.056
2km buffer,Weighted,3.649,0.102
,Unweighted,0,0.633
5km buffer,Weighted,7.728,0.013
,Unweighted,8.122,0.011
7km buffer,Weighted,9.515,0.005
,Unweighted,11.52,0.002
10km buffer,Weighted,11.979,0.002
,Unweighted,3.669,0.101
NN,Weighted,9.5,0.005
,Unweighted,9.869,0.005
