model,weighting,aicDelta,weight
Null,NA,11.23,0.003
IFM,Weighted,6.063,0.039
,Unweighted,7.061,0.024
2km buffer,Weighted,4.123,0.102
,Unweighted,0,0.804
5km buffer,Weighted,8.198,0.013
,Unweighted,9.054,0.009
7km buffer,Weighted,10.407,0.004
,Unweighted,13.442,0.001
10km buffer,Weighted,14.232,0.001
,Unweighted,15.155,0
