model,weighting,aicDelta,weight
Null,NA,439.491,0
IFM,Weighted,165.798,0
,Unweighted,188.914,0
2km buffer,Weighted,62.768,0
,Unweighted,104.279,0
5km buffer,Weighted,3.917,0.124
,Unweighted,45.777,0
7km buffer,Weighted,0,0.876
,Unweighted,30.029,0
10km buffer,Weighted,34.833,0
,Unweighted,84.043,0
