model,weighting,aicDelta,weight
Null,NA,11.23,0.003
IFM,Weighted,6.218,0.036
,Unweighted,7.609,0.018
2km buffer,Weighted,4.123,0.103
,Unweighted,0,0.811
5km buffer,Weighted,8.198,0.013
,Unweighted,9.054,0.009
7km buffer,Weighted,10.407,0.004
,Unweighted,13.422,0.001
10km buffer,Weighted,13.999,0.001
,Unweighted,14.443,0.001
