AD1_2004__Darvill
AD1_2004__Quaranta
AD1_2005__Hanley
AD1_2005__Oertli
AD1_2006__Diekoetter
AD1_2006__Marshall
AD1_2007__Herrmann
AD1_2007__Ockinger
AD1_2008__Billeter
AD1_2008__Franzen
AD1_2008__Goulson
AD1_2008__Kohler
AD1_2009__Farwig
AD1_2009__Knight
AD1_2010__Albrecht
AD1_2010__Davis
AD1_2010__Goulson
AD1_2011__Bates
AD1_2011b_Hanley
AD1_2011__Hanley
AD1_2011__Holzschuh
AD1_2011__Nielsen
AD1_2011__Power
AD1_2011__Schuepp
AD1_2011__Weiner
AD1_2012__Osgathorpe
AD1_2012__Verboven
CM1_2002__Zaitsev
CM1_2010__Baeten
DB1_2004__Helden
DB1_2004__Weller
DB1_2007__Elek
DB1_2007__Hornung
DB1_2010__Magura
DL1_2010__Castro
DL1_2010__Proenca
DL1_2011__MorenoMateos
DL1_2012__CalvinoCancela
DL1_2013__Bartolommei
HB1_2004__Verhulst
HP1_2013__Mico
HW1_2005__Baldi
HW1_2011__Berg
HW1_2011__Brunet
HW1_2012__Jonsell
HW1_2012__Korosi
JB3_2013__Irwin
JB3_2017__Kajtoch
JB3_2019__daSilva
JB3_2019__Leso
LH1_2008__Littlewood
MG1_2004__Koivula
MG1_2005__Arroyo
MG1_2005__Vanbergen
MG1_2006__Baur
MG1_2006__Zaitsev
MG1_2007__Chauvat
MG1_2009__Dumont
MG1_2011__Vassilev
MG1_2012__Littlewood
SC1_2004__Hylander
SC1_2008__Gaublomme
SC1_2009__Williams
SC1_2010__Giordani
SC1_2010__ReyBenayas
SC1_2012__Barrico
SC1_2012__Power
SC1_2014__Fowler
SC2_2011__DAniello
SC2_2012__Brito
SC2_2012__Giordani
SC2_2012__Kati
SC2_2012__Numa
SC2_2012__Santana
SC2_2012__Verdasca
SH1_2010__Medina
SJ2_2013__Baldi
SJ2_2017__Fournier
SJ2_2017__Provost
SJ2_2020__Klein
SJ2_2020__Perrin
SS1_2006__Taboada
SS1_2011__Lange
SS1_2011__Mulder
SS1_2012__Horvath
SS1_2015__Bogyo
SS1_2015__Ponge
VB1_2005__Eggleton
VB1_2008__Magura
VB1_2010__Bone
VB1_2011__Farrell
VB1_2012a_Carpenter
VB1_2012__Carpenter
VB1_2012__LeightonGoodall
VB1_2013a_Jones
VB1_2013__Albrecht
VB1_2013__Burton
VB1_2013__Jones
VB1_2013__Kosewska
VB1_2014__Jones
VB1_2015__Burton
VB1_2015__ESB
VK1_2009__Noreika
VK1_2009__Strom
VK1_2011__Edenius
VK1_2012__Hylander
VK1_2012__Noreika
