model,weighting,aicDelta,weight
Null,NA,11.23,0.003
IFM,Weighted,3.795,0.107
,Unweighted,5.091,0.056
2km buffer,Weighted,4.123,0.091
,Unweighted,0,0.717
5km buffer,Weighted,8.198,0.012
,Unweighted,9.054,0.008
7km buffer,Weighted,10.407,0.004
,Unweighted,13.442,0.001
10km buffer,Weighted,14.232,0.001
,Unweighted,15.155,0
