model,weighting,aicDelta,weight
Null,NA,539.204,0
IFM,Weighted,27.027,0
,Unweighted,0,1
2km buffer,Weighted,162.481,0
,Unweighted,203.992,0
5km buffer,Weighted,103.63,0
,Unweighted,145.49,0
7km buffer,Weighted,99.713,0
,Unweighted,129.548,0
10km buffer,Weighted,128.922,0
,Unweighted,186.966,0
