model,weighting,aicDelta,weight
Null,NA,10.385,0.003
IFM,Weighted,2.786,0.149
,Unweighted,2.968,0.136
2km buffer,Weighted,4.022,0.08
,Unweighted,0,0.6
5km buffer,Weighted,8.085,0.011
,Unweighted,8.531,0.008
7km buffer,Weighted,9.826,0.004
,Unweighted,12.824,0.001
10km buffer,Weighted,13.492,0.001
,Unweighted,13.533,0.001
NN,Weighted,10.303,0.003
,Unweighted,10.736,0.003
