landuse,estimate,stderr,lower,upper,z,p
Primary minimal,0.0224,0.0112,0.000404,0.0444,2,0.0459
Primary non-minimal,0.0383,0.0768,-0.112,0.189,0.499,0.618
Young secondary,-0.0382,0.0158,-0.0691,-0.00727,-2.42,0.0155
Intermediate secondary,0.0385,0.0157,0.00772,0.0692,2.45,0.0142
Mature secondary,0.0178,0.175,-0.325,0.361,0.102,0.919
In use,-0.0396,0.0174,-0.0736,-0.00555,-2.28,0.0226
