model,weighting,aicDelta,weight
Null,NA,12.751,0.001
IFM,Weighted,0,0.451
,Unweighted,0.323,0.384
2km buffer,Weighted,6.388,0.019
,Unweighted,2.366,0.138
5km buffer,Weighted,10.451,0.002
,Unweighted,10.898,0.002
7km buffer,Weighted,12.192,0.001
,Unweighted,15.19,0
10km buffer,Weighted,15.858,0
,Unweighted,15.899,0
NN,Weighted,12.67,0.001
,Unweighted,13.103,0.001
