AD1\_2004\_\_Darvill
AD1\_2004\_\_Quaranta
AD1\_2005\_\_Hanley
AD1\_2005\_\_Oertli
AD1\_2006\_\_Diekoetter
AD1\_2006\_\_Marshall
AD1\_2007\_\_Herrmann
AD1\_2007\_\_Ockinger
AD1\_2008\_\_Billeter
AD1\_2008\_\_Franzen
AD1\_2008\_\_Goulson
AD1\_2008\_\_Kohler
AD1\_2009\_\_Farwig
AD1\_2009\_\_Knight
AD1\_2010\_\_Albrecht
AD1\_2010\_\_Davis
AD1\_2010\_\_Goulson
AD1\_2011\_\_Bates
AD1\_2011b\_Hanley
AD1\_2011\_\_Hanley
AD1\_2011\_\_Holzschuh
AD1\_2011\_\_Nielsen
AD1\_2011\_\_Power
AD1\_2011\_\_Schuepp
AD1\_2011\_\_Weiner
AD1\_2012\_\_Osgathorpe
AD1\_2012\_\_Verboven
CM1\_2002\_\_Zaitsev
CM1\_2010\_\_Baeten
DB1\_2004\_\_Helden
DB1\_2004\_\_Weller
DB1\_2007\_\_Elek
DB1\_2007\_\_Hornung
DB1\_2010\_\_Magura
DL1\_2010\_\_Castro
DL1\_2010\_\_Proenca
DL1\_2011\_\_MorenoMateos
DL1\_2012\_\_CalvinoCancela
DL1\_2013\_\_Bartolommei
HB1\_2004\_\_Verhulst
HP1\_2013\_\_Mico
HW1\_2005\_\_Baldi
HW1\_2011\_\_Berg
HW1\_2011\_\_Brunet
HW1\_2012\_\_Jonsell
HW1\_2012\_\_Korosi
JB3\_2013\_\_Irwin
JB3\_2017\_\_Kajtoch
JB3\_2019\_\_daSilva
JB3\_2019\_\_Leso
LH1\_2008\_\_Littlewood
MG1\_2004\_\_Koivula
MG1\_2005\_\_Arroyo
MG1\_2005\_\_Vanbergen
MG1\_2006\_\_Baur
MG1\_2006\_\_Zaitsev
MG1\_2007\_\_Chauvat
MG1\_2009\_\_Dumont
MG1\_2011\_\_Vassilev
MG1\_2012\_\_Littlewood
SC1\_2004\_\_Hylander
SC1\_2008\_\_Gaublomme
SC1\_2009\_\_Williams
SC1\_2010\_\_Giordani
SC1\_2010\_\_ReyBenayas
SC1\_2012\_\_Barrico
SC1\_2012\_\_Power
SC1\_2014\_\_Fowler
SC2\_2011\_\_DAniello
SC2\_2012\_\_Brito
SC2\_2012\_\_Giordani
SC2\_2012\_\_Kati
SC2\_2012\_\_Numa
SC2\_2012\_\_Santana
SC2\_2012\_\_Verdasca
SH1\_2010\_\_Medina
SJ2\_2013\_\_Baldi
SJ2\_2017\_\_Fournier
SJ2\_2017\_\_Provost
SJ2\_2020\_\_Klein
SJ2\_2020\_\_Perrin
SS1\_2006\_\_Taboada
SS1\_2011\_\_Lange
SS1\_2011\_\_Mulder
SS1\_2012\_\_Horvath
SS1\_2015\_\_Bogyo
SS1\_2015\_\_Ponge
VB1\_2005\_\_Eggleton
VB1\_2008\_\_Magura
VB1\_2010\_\_Bone
VB1\_2011\_\_Farrell
VB1\_2012a\_Carpenter
VB1\_2012\_\_Carpenter
VB1\_2012\_\_LeightonGoodall
VB1\_2013a\_Jones
VB1\_2013\_\_Albrecht
VB1\_2013\_\_Burton
VB1\_2013\_\_Jones
VB1\_2013\_\_Kosewska
VB1\_2014\_\_Jones
VB1\_2015\_\_Burton
VB1\_2015\_\_ESB
VK1\_2009\_\_Noreika
VK1\_2009\_\_Strom
VK1\_2011\_\_Edenius
VK1\_2012\_\_Hylander
VK1\_2012\_\_Noreika
